Module,TXT,RO,DATA,BSS,TOTAL,FatalCount,F3Count
modem_proc/sierra/ids/sierra_ids.lib/session.o,2484,537,0,0,3021,0,0
modem_proc/sierra/ids/sierra_ids.lib/dm_session.o,748,324,0,0,1072,0,0
modem_proc/sierra/ids/sierra_ids.lib/sess_dm_alert.o,2100,166,0,0,2266,0,0
modem_proc/sierra/ids/sierra_ids.lib/sess_dm_boot.o,3196,1067,0,0,4263,0,0
modem_proc/sierra/ids/sierra_ids.lib/sess_dm_processcmds.o,4020,202,0,0,4222,0,0
modem_proc/sierra/ids/sierra_ids.lib/sess_dm_utils.o,1684,246,0,0,1930,0,0
modem_proc/sierra/ids/sierra_ids.lib/xmlparseutils.o,1368,46,0,0,1414,0,0
modem_proc/sierra/ids/sierra_ids.lib/omadl_parsedd.o,3412,1514,0,0,4926,0,0
modem_proc/sierra/ids/sierra_ids.lib/omadl_comms_if.o,1700,499,0,0,2199,0,0
modem_proc/sierra/ids/sierra_ids.lib/omadl_dev_if.o,740,368,0,0,1108,0,0
modem_proc/sierra/ids/sierra_ids.lib/fumo_download.o,344,105,0,0,449,0,0
modem_proc/sierra/ids/sierra_ids.lib/fumo_session.o,3020,1127,0,0,4147,0,0
modem_proc/sierra/ids/sierra_ids.lib/fumo_storage.o,1380,876,0,0,2256,0,0
modem_proc/sierra/ids/sierra_ids.lib/fumo_update.o,328,240,0,0,568,0,0
modem_proc/sierra/ids/sierra_ids.lib/fumo_trigger_if.o,4,0,0,0,4,0,0
modem_proc/sierra/ids/sierra_ids.lib/fumo_ua_if.o,1224,840,0,0,2064,0,0
modem_proc/sierra/ids/sierra_ids.lib/tnds_common.o,584,416,0,0,1000,0,0
modem_proc/sierra/ids/sierra_ids.lib/tnds_decodewbxml.o,2216,88,0,0,2304,0,0
modem_proc/sierra/ids/sierra_ids.lib/tnds_decodexml.o,3176,142,0,0,3318,0,0
modem_proc/sierra/ids/sierra_ids.lib/tnds_encode.o,3272,155,0,0,3427,0,0
modem_proc/sierra/ids/sierra_ids.lib/da_workspace.o,500,250,0,0,750,0,0
modem_proc/sierra/ids/sierra_ids.lib/da_foto.o,228,84,0,0,312,0,0
modem_proc/sierra/ids/sierra_ids.lib/ua_workspace.o,48,0,0,0,48,0,0
modem_proc/sierra/ids/sierra_ids.lib/ssp_workspace.o,1148,619,4,0,1771,0,0
modem_proc/sierra/ids/sierra_ids.lib/ssp_wsstatics.o,8,0,0,156,164,0,0
modem_proc/sierra/ids/sierra_ids.lib/ssp_adler32.o,400,0,0,0,400,0,0
modem_proc/sierra/ids/sierra_ids.lib/flash_if.o,36,0,0,0,36,0,0
modem_proc/sierra/ids/sierra_ids.lib/aes.o,3796,17762,0,0,21558,0,0
modem_proc/sierra/ids/sierra_ids.lib/sha1.o,2804,320,32,0,3156,0,0
modem_proc/sierra/ids/sierra_ids.lib/ltm_desc.o,1328,232,0,0,1560,0,0
modem_proc/sierra/ids/sierra_ids.lib/crypt_find_hash.o,68,0,0,0,68,0,0
modem_proc/sierra/ids/sierra_ids.lib/crypt_register_cipher.o,112,0,0,0,112,0,0
modem_proc/sierra/ids/sierra_ids.lib/crypt_register_hash.o,112,0,0,0,112,0,0
